2020-11-24 10:09:59.059 DEBUG 12696 --- [XNIO-1 task-96] s.r.demo.controller.DemoController       : 用户信息：UserInfo{id='null', name='rockpile', age=18, interests=[programming, running, reading], tags={hobby=gunpla}, createDate=null}
2020-11-24 10:10:14.054 DEBUG 12696 --- [XNIO-1 task-2] s.r.demo.controller.DemoController       : registe server(demo-server:5030)
2020-11-24 10:10:14.054 DEBUG 12696 --- [XNIO-1 task-9] s.r.demo.controller.DemoController       : 用户信息：UserInfo{id='null', name='rockpile', age=18, interests=[programming, running, reading], tags={hobby=gunpla}, createDate=null}
2020-11-24 10:10:14.055 DEBUG 12696 --- [XNIO-1 task-8] s.r.demo.controller.DemoController       : 用户信息：UserInfo{id='null', name='rockpile', age=18, interests=[programming, running, reading], tags={hobby=gunpla}, createDate=null}
2020-11-24 10:10:27.457 DEBUG 12696 --- [XNIO-1 task-11] s.r.demo.controller.DemoController       : 用户信息：UserInfo{id='null', name='rockpile', age=18, interests=[programming, running, reading], tags={hobby=gunpla}, createDate=null}
2020-11-24 10:10:27.458 DEBUG 12696 --- [XNIO-1 task-12] s.r.demo.controller.DemoController       : registe server(demo-server:5030)
2020-11-24 10:10:27.458 DEBUG 12696 --- [XNIO-1 task-10] s.r.demo.controller.DemoController       : 用户信息：UserInfo{id='null', name='rockpile', age=18, interests=[programming, running, reading], tags={hobby=gunpla}, createDate=null}
2020-11-24 10:10:38.057 DEBUG 12696 --- [XNIO-1 task-15] s.r.demo.controller.DemoController       : registe server(demo-server:5030)
2020-11-24 10:10:38.057 DEBUG 12696 --- [XNIO-1 task-16] s.r.demo.controller.DemoController       : 用户信息：UserInfo{id='null', name='rockpile', age=18, interests=[programming, running, reading], tags={hobby=gunpla}, createDate=null}
2020-11-24 10:10:38.058 DEBUG 12696 --- [XNIO-1 task-18] s.r.demo.controller.DemoController       : 用户信息：UserInfo{id='null', name='rockpile', age=18, interests=[programming, running, reading], tags={hobby=gunpla}, createDate=null}
2020-11-24 10:10:43.760 DEBUG 12696 --- [XNIO-1 task-20] s.r.demo.controller.DemoController       : registe server(demo-server:5030)
2020-11-24 10:10:43.763 DEBUG 12696 --- [XNIO-1 task-22] s.r.demo.controller.DemoController       : 用户信息：UserInfo{id='null', name='rockpile', age=18, interests=[programming, running, reading], tags={hobby=gunpla}, createDate=null}
2020-11-24 10:10:43.763 DEBUG 12696 --- [XNIO-1 task-24] s.r.demo.controller.DemoController       : 用户信息：UserInfo{id='null', name='rockpile', age=18, interests=[programming, running, reading], tags={hobby=gunpla}, createDate=null}
2020-11-24 10:11:22.433 DEBUG 12696 --- [XNIO-1 task-23] s.r.demo.controller.DemoController       : registe server(demo-server:5030)
2020-11-24 10:11:22.434 DEBUG 12696 --- [XNIO-1 task-27] s.r.demo.controller.DemoController       : 用户信息：UserInfo{id='null', name='rockpile', age=18, interests=[programming, running, reading], tags={hobby=gunpla}, createDate=null}
2020-11-24 10:11:22.435 DEBUG 12696 --- [XNIO-1 task-28] s.r.demo.controller.DemoController       : 用户信息：UserInfo{id='null', name='rockpile', age=18, interests=[programming, running, reading], tags={hobby=gunpla}, createDate=null}
2020-11-24 10:11:55.749 DEBUG 12696 --- [XNIO-1 task-29] s.r.demo.controller.DemoController       : registe server(demo-server:5030)
2020-11-24 10:11:55.749 DEBUG 12696 --- [XNIO-1 task-31] s.r.demo.controller.DemoController       : 用户信息：UserInfo{id='null', name='rockpile', age=18, interests=[programming, running, reading], tags={hobby=gunpla}, createDate=null}
